# Name of benchmark/experiment: Experiment 2
# Describe how ice line latitude is determined: where temperature falls below freezing in annual average
# Note that Tglob = 450. means the case is in runaway greenhouse: ESTM output is not reliable

# Columns of data
# Case = case number (total: 289)
# Inst = instellation (S_earth; i.e., relative to Earth's 1361 W m^-2)
# Obl = obliquity (degrees)
# XCO2 = mixing ratio (volume) of CO2 (ppm)
# Tglob = global, annual mean surface temperature (K)
# IceLineNMax = latitude of northern edge of ice in northern hemisphere (deg)
# IceLineNMin = latitude of southern edge of ice in northern hemisphere (deg)
# IceLineSMax = latitude of northern edge of ice in southern hemisphere (deg)
# IceLineSMin = latitude of southern edge of ice in southern hemisphere (deg)
# Diff = average diffusion coefficient (W m^-2 K^-1)
# OLR = global, annual mean outgoing longwave radiation

# Case Inst Obl XCO2 Tglob IceLineNMax IceLineNMin IceLineSMax IceLineSMin Diff OLR
235 1.3250 70.0 280 450.00 90.0 90.0 -90.0 -90.0 0.5000 372.36
236 1.3250 75.0 280 450.00 90.0 90.0 -90.0 -90.0 0.5000 372.80
237 1.3250 80.0 280 450.00 90.0 90.0 -90.0 -90.0 0.5000 373.18
238 1.3500 0.0 280 450.00 90.0 90.0 -90.0 -90.0 0.5000 379.47
239 1.3500 5.0 280 450.00 90.0 90.0 -90.0 -90.0 0.5000 379.43
240 1.3500 10.0 280 450.00 90.0 90.0 -90.0 -90.0 0.5000 379.31
241 1.3500 15.0 280 450.00 90.0 90.0 -90.0 -90.0 0.5000 379.11
242 1.3500 20.0 280 450.00 90.0 90.0 -90.0 -90.0 0.5000 378.86
243 1.3500 25.0 280 450.00 90.0 90.0 -90.0 -90.0 0.5000 378.59
244 1.3500 30.0 280 450.00 90.0 90.0 -90.0 -90.0 0.5000 378.34
245 1.3500 35.0 280 450.00 90.0 90.0 -90.0 -90.0 0.5000 378.13
246 1.3500 40.0 280 450.00 90.0 90.0 -90.0 -90.0 0.5000 378.07
247 1.3500 45.0 280 450.00 90.0 90.0 -90.0 -90.0 0.5000 378.04
248 1.3500 50.0 280 450.00 90.0 90.0 -90.0 -90.0 0.5000 378.14
249 1.3500 55.0 280 450.00 90.0 90.0 -90.0 -90.0 0.5000 378.33
250 1.3500 60.0 280 450.00 90.0 90.0 -90.0 -90.0 0.5000 378.64
251 1.3500 65.0 280 450.00 90.0 90.0 -90.0 -90.0 0.5000 379.10
252 1.3500 70.0 280 450.00 90.0 90.0 -90.0 -90.0 0.5000 379.41
253 1.3500 75.0 280 450.00 90.0 90.0 -90.0 -90.0 0.5000 379.86
254 1.3500 80.0 280 450.00 90.0 90.0 -90.0 -90.0 0.5000 380.25
255 1.3750 0.0 280 450.00 90.0 90.0 -90.0 -90.0 0.5000 386.72
256 1.3750 5.0 280 450.00 90.0 90.0 -90.0 -90.0 0.5000 386.68
257 1.3750 10.0 280 450.00 90.0 90.0 -90.0 -90.0 0.5000 386.55
258 1.3750 15.0 280 450.00 90.0 90.0 -90.0 -90.0 0.5000 386.35
259 1.3750 20.0 280 450.00 90.0 90.0 -90.0 -90.0 0.5000 386.09
260 1.3750 25.0 280 450.00 90.0 90.0 -90.0 -90.0 0.5000 385.81
261 1.3750 30.0 280 450.00 90.0 90.0 -90.0 -90.0 0.5000 385.54
262 1.3750 35.0 280 450.00 90.0 90.0 -90.0 -90.0 0.5000 385.36
263 1.3750 40.0 280 450.00 90.0 90.0 -90.0 -90.0 0.5000 385.25
264 1.3750 45.0 280 450.00 90.0 90.0 -90.0 -90.0 0.5000 385.01
265 1.3750 50.0 280 450.00 90.0 90.0 -90.0 -90.0 0.5000 385.15
266 1.3750 55.0 280 450.00 90.0 90.0 -90.0 -90.0 0.5000 385.35
267 1.3750 60.0 280 450.00 90.0 90.0 -90.0 -90.0 0.5000 385.68
268 1.3750 65.0 280 450.00 90.0 90.0 -90.0 -90.0 0.5000 386.15
269 1.3750 70.0 280 450.00 90.0 90.0 -90.0 -90.0 0.5000 386.66
270 1.3750 75.0 280 450.00 90.0 90.0 -90.0 -90.0 0.5000 386.90
271 1.3750 80.0 280 450.00 90.0 90.0 -90.0 -90.0 0.5000 387.29
272 1.4000 0.0 280 450.00 90.0 90.0 -90.0 -90.0 0.5000 393.86
273 1.4000 5.0 280 450.00 90.0 90.0 -90.0 -90.0 0.5000 393.82
274 1.4000 10.0 280 450.00 90.0 90.0 -90.0 -90.0 0.5000 393.69
275 1.4000 15.0 280 450.00 90.0 90.0 -90.0 -90.0 0.5000 393.49
276 1.4000 20.0 280 450.00 90.0 90.0 -90.0 -90.0 0.5000 393.23
277 1.4000 25.0 280 450.00 90.0 90.0 -90.0 -90.0 0.5000 392.95
278 1.4000 30.0 280 450.00 90.0 90.0 -90.0 -90.0 0.5000 392.70
279 1.4000 35.0 280 450.00 90.0 90.0 -90.0 -90.0 0.5000 392.55
280 1.4000 40.0 280 450.00 90.0 90.0 -90.0 -90.0 0.5000 392.07
