# Name of benchmark/experiment: FILLET Experiment 2 (cold start)
# Model: AVALON (Albedo-feedback Variable Axial-tilt Latitudinal Outgoing-Net EBM)
# Ice line definition: latitude where annual-mean surface temperature crosses -10.0 °C
# Ice-free convention: NMaxLand=NMinLand=NMaxSea=NMinSea=90; SMaxLand=SMinLand=SMaxSea=SMinSea=-90
# Case Inst Obl XCO2 Tglob IceLineNMaxLand IceLineNMinLand IceLineNMaxSea IceLineNMinSea IceLineSMaxLand IceLineSMinLand IceLineSMaxSea IceLineSMinSea Diff OLRglob
107 1.35 50.0 280.0 259.95407590890676 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 183.6081518178135
108 1.375 50.0 280.0 349.3147862940512 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 362.3295725881025
109 1.4 50.0 280.0 352.60872567319495 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 368.91745134638984
110 1.425 50.0 280.0 355.90264311255714 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 375.50528622511433
111 1.45 50.0 280.0 359.1965034056402 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 382.0930068112805
112 1.475 50.0 280.0 362.4904045045233 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 388.6808090090465
113 1.5 50.0 280.0 365.78437929911826 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 395.2687585982366
114 1.05 60.0 280.0 239.6521722489788 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 143.0043444979576
115 1.075 60.0 280.0 241.3545739623618 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 146.40914792472364
116 1.1 60.0 280.0 243.0569756757448 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 149.8139513514897
117 1.125 60.0 280.0 244.75947283344192 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 153.2189456668839
118 1.15 60.0 280.0 246.46188206388496 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 156.62376412777
119 1.175 60.0 280.0 248.16438114135553 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 160.02876228271117
120 1.2 60.0 280.0 249.86679648507763 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 163.4335929701553
121 1.225 60.0 280.0 251.56921182879972 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 166.83842365759952
122 1.25 60.0 280.0 253.27162717252182 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 170.24325434504368
123 1.275 60.0 280.0 336.37214543794676 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 336.44429087589367
124 1.3 60.0 280.0 339.67058327311025 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 343.04116654622055
125 1.325 60.0 280.0 342.9690500019014 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 349.63810000380283
126 1.35 60.0 280.0 346.2675166417389 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 356.23503328347783
127 1.375 60.0 280.0 349.5660797340432 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 362.8321594680865
128 1.4 60.0 280.0 352.86450346194454 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 369.4290069238892
129 1.425 60.0 280.0 356.16298170383936 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 376.0259634076787
130 1.45 60.0 280.0 359.46144221349 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 382.62288442697997
131 1.475 60.0 280.0 362.7599806313698 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 389.2199612627397
132 1.5 60.0 280.0 366.0584144563324 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 395.8168289126648
133 1.05 70.0 280.0 239.72513827743035 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 143.1502765548608
134 1.075 70.0 280.0 241.4292772772051 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 146.55855455441022
135 1.1 70.0 280.0 243.13341627697983 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 149.96683255395973
136 1.125 70.0 280.0 244.83765106914416 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 153.37530213828836
137 1.15 70.0 280.0 246.54179759371388 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 156.78359518742786
138 1.175 70.0 280.0 248.24603426096607 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 160.1920685219322
139 1.2 70.0 280.0 249.9501869051054 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 163.60037381021087
140 1.225 70.0 280.0 329.94012566136126 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 323.5802513227226
141 1.25 70.0 280.0 333.2419607575469 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 330.18392151509374
142 1.275 70.0 280.0 336.54375580927297 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 336.78751161854603
143 1.3 70.0 280.0 339.8456647902683 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 343.3913295805367
144 1.325 70.0 280.0 343.1474969796725 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 349.9949939593451
145 1.35 70.0 280.0 346.4492878834516 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 356.5985757669032
146 1.375 70.0 280.0 349.75113474208456 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 363.2022694841691
147 1.4 70.0 280.0 353.05305051318356 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 369.8061010263672
148 1.425 70.0 280.0 356.3548647294764 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 376.4097294589527
149 1.45 70.0 280.0 359.6567560279881 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 383.0135120559762
150 1.475 70.0 280.0 362.95855540979375 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 389.61711081958754
151 1.5 70.0 280.0 366.26042960398763 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 396.22085920797537
152 1.05 80.0 280.0 239.76951585725328 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 143.2390317145066
153 1.075 80.0 280.0 241.47471146607143 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 146.6494229321429
154 1.1 80.0 280.0 243.17990707488954 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 150.0598141497791
155 1.125 80.0 280.0 244.8851986877947 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 153.47039737558944
156 1.15 80.0 280.0 246.59040182611224 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 156.88080365222453
157 1.175 80.0 280.0 248.2956952869277 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 160.2913905738554
158 1.2 80.0 280.0 326.7365502395424 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 317.17310047908484
159 1.225 80.0 280.0 330.04037343499107 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 323.7807468699821
160 1.25 80.0 280.0 333.3443221567495 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 330.388644313499
161 1.275 80.0 280.0 336.6481739494801 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 336.99634789896027
162 1.3 80.0 280.0 339.9521191190348 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 343.60423823806957
163 1.325 80.0 280.0 343.25596089520235 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 350.2119217904047
164 1.35 80.0 280.0 346.55984906505785 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 356.8196981301157
165 1.375 80.0 280.0 349.8638043933722 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 363.42760878674454
166 1.4 80.0 280.0 353.1676713146767 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 370.0353426293534
167 1.425 80.0 280.0 356.47151570077074 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 376.6430314015416
168 1.45 80.0 280.0 359.77544968871774 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 383.2508993774355
169 1.475 80.0 280.0 363.07937526952173 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 389.8587505390434
170 1.5 80.0 280.0 366.3832061925554 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 396.4664123851108
171 1.05 90.0 280.0 239.78498747348786 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 143.26997494697576
172 1.075 90.0 280.0 241.49055145412112 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 146.68110290824228
173 1.1 90.0 280.0 243.19611543475435 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 150.0922308695087
174 1.125 90.0 280.0 244.90177549327927 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 153.50355098655862
175 1.15 90.0 280.0 246.60734700505205 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 156.9146940101041
176 1.175 90.0 280.0 248.95168485336018 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 161.6033697067204
177 1.2 90.0 280.0 326.7708051054092 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 317.24161021081835
178 1.225 90.0 280.0 330.0754124972959 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 323.85082499459173
179 1.25 90.0 280.0 333.38001988015503 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 330.46003976031017
180 1.275 90.0 280.0 336.68454927362376 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 337.06909854724756
181 1.3 90.0 280.0 339.98920286167106 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 343.6784057233422
182 1.325 90.0 280.0 343.29381561982336 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 350.2876312396468
183 1.35 90.0 280.0 346.5984163019612 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 356.89683260392246
184 1.375 90.0 280.0 349.90299395483925 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 363.50598790967854
185 1.4 90.0 280.0 353.20765657439796 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 370.1153131487959
