# Name of benchmark/experiment: Experiment 1
# Describe how ice line latitude is determined: where temperature falls below freezing in annual average
# Note that Tglob = 450. means the case is in runaway greenhouse: ESTM output is not reliable

# Columns of data
# Case = case number (total: 289)
# Inst = instellation (S_earth; i.e., relative to Earth's 1361 W m^-2)
# Obl = obliquity (degrees)
# XCO2 = mixing ratio (volume) of CO2 (ppm)
# Tglob = global, annual mean surface temperature (K)
# IceLineN = latitude of ice line in northern hemisphere (deg)
# IceLineS = latitude of ice line in southern hemisphere (deg)
# fice = annually averaged ice fraction
# fclo = annually averaged cloud fraction
# ATOA = annually averaged top-of-atmosphere/total/planetary albedo
# dTep = average difference between the temperatures at Equator and North Pole (K)
# diff = average diffusion coefficient (W m^-2 K^-1)

# Case Inst Obl XCO2 Tglob IceLineN IceLineS fice fclo ATOA dTep diff
232 1.1250 55.0 280 325.83 90.0 -90.0 0.0000 0.0000 0.2173 3.23 0.5000
233 1.1250 60.0 280 326.72 90.0 -90.0 0.0000 0.0000 0.2174 13.74 0.5000
234 1.1250 65.0 280 328.19 90.0 -90.0 0.0000 0.0000 0.2176 23.39 0.5000
235 1.1250 70.0 280 329.98 90.0 -90.0 0.0000 0.0000 0.2167 31.84 0.5000
236 1.1250 75.0 280 331.80 90.0 -90.0 0.0000 0.0000 0.2160 38.77 0.5000
237 1.1250 80.0 280 333.39 90.0 -90.0 0.0000 0.0000 0.2147 43.92 0.5000
238 1.1500 0.0 280 389.54 90.0 -90.0 0.0000 0.0000 0.1848 104.14 0.5000
239 1.1500 5.0 280 388.74 90.0 -90.0 0.0000 0.0000 0.1849 102.70 0.5000
240 1.1500 10.0 280 386.27 90.0 -90.0 0.0000 0.0000 0.1854 98.51 0.5000
241 1.1500 15.0 280 382.42 90.0 -90.0 0.0000 0.0000 0.1858 91.90 0.5000
242 1.1500 20.0 280 377.55 90.0 -90.0 0.0000 0.0000 0.1865 83.20 0.5000
243 1.1500 25.0 280 372.18 90.0 -90.0 0.0000 0.0000 0.1873 72.80 0.5000
244 1.1500 30.0 280 366.70 90.0 -90.0 0.0000 0.0000 0.1880 61.09 0.5000
245 1.1500 35.0 280 361.58 90.0 -90.0 0.0000 0.0000 0.1890 48.49 0.5000
246 1.1500 40.0 280 357.48 90.0 -90.0 0.0000 0.0000 0.1902 35.39 0.5000
247 1.1500 45.0 280 354.87 90.0 -90.0 0.0000 0.0000 0.1910 22.15 0.5000
