 #Name of benchmark/experiment: Experiment 1 (warm start)
 # Describe how ice line latitude is determined: The surface ice coverage corresponds to latitude bands in which the annually-averaged surface temperature is < 263.15 K.
 # Columns of data
 # Case = case number (0 -> total number of cases in experiment)
 # SEFF = effective stellar flux divided by value at Earth (1361 W/m^2)
 # Obl = obliquity (degrees)
 # XCO2 = CO2 mixing ratio (volume in ppm)
 # Tglob = global, annual mean surface temperature (K)
 #IceLineNMax = latitude of northern edge of ice in northern hemisphere (deg)
 #IceLineNMin = latitude of northern edge of ice in northern hemisphere (deg)
 #IceLineSMax = latitude of northern edge of ice in northern hemisphere (deg)
 #IceLineSMin = latitude of northern edge of ice in northern hemisphere (deg)
 # Diff = thermal diffusion coefficient (W/m^2/K)
 # OLRglob = global, annual mean outgoing longwave radiation (W/m^2)

 # Case SEFF Obl XCO2 Tglob IceLineNMax IceLineNmin IceLineSMax IceLineSMin Diff OLRGlob
135 8.50000E-01  70.0 280.  231.958  90.0   0.0   0.0 -90.0  0.50  135.106
136 8.75000E-01  70.0 280.  235.256  90.0   0.0   0.0 -90.0  0.50  140.987
137 9.00000E-01  70.0 280.  239.005  90.0   0.0   0.0 -90.0  0.50  147.789
138 9.25000E-01  70.0 280.  242.793  90.0   0.0   0.0 -90.0  0.50  154.805
139 9.50000E-01  70.0 280.  247.217  90.0   0.0   0.0 -90.0  0.50  163.176
140 9.75000E-01  70.0 280.  279.426  90.0  90.0 -90.0 -90.0  0.50  227.277
141 1.00000E+00  70.0 280.  281.581  90.0  90.0 -90.0 -90.0  0.50  231.228
142 1.02500E+00  70.0 280.  283.769  90.0  90.0 -90.0 -90.0  0.50  235.091
143 1.05000E+00  70.0 280.  286.019  90.0  90.0 -90.0 -90.0  0.50  238.814
144 1.07500E+00  70.0 280.  288.467  90.0  90.0 -90.0 -90.0  0.50  242.525
145 1.10000E+00  70.0 280.  291.010  90.0  90.0 -90.0 -90.0  0.50  246.159
146 1.12500E+00  70.0 280.  293.760  90.0  90.0 -90.0 -90.0  0.50  249.810
147 1.15000E+00  70.0 280.  297.045  90.0  90.0 -90.0 -90.0  0.50  253.726
148 1.17500E+00  70.0 280.  301.818  90.0  90.0 -90.0 -90.0  0.50  258.453
149 1.20000E+00  70.0 280.  313.480  90.0  90.0 -90.0 -90.0  0.50  267.468
150 1.22500E+00  70.0 280.  386.614  90.0  90.0 -90.0 -90.0  0.50  286.546
151 1.25000E+00  70.0 280.  386.809  90.0  90.0 -90.0 -90.0  0.50  286.565

152 8.00000E-01  80.0 280.  225.888  90.0   0.0   0.0 -90.0  0.50  125.374
153 8.25000E-01  80.0 280.  229.796  90.0   0.0   0.0 -90.0  0.50  131.332
154 8.50000E-01  80.0 280.  233.116  90.0   0.0   0.0 -90.0  0.50  137.176
155 8.75000E-01  80.0 280.  236.620  90.0   0.0   0.0 -90.0  0.50  143.464
156 9.00000E-01  80.0 280.  240.455  90.0   0.0   0.0 -90.0  0.50  150.483
157 9.25000E-01  80.0 280.  244.663  90.0   0.0   0.0 -90.0  0.50  158.361
158 9.50000E-01  80.0 280.  278.890  90.0  90.0 -90.0 -90.0  0.50  225.961
159 9.75000E-01  80.0 280.  280.709  90.0  90.0 -90.0 -90.0  0.50  229.216
160 1.00000E+00  80.0 280.  282.556  90.0  90.0 -90.0 -90.0  0.50  232.375
161 1.02500E+00  80.0 280.  284.995  90.0  90.0 -90.0 -90.0  0.50  236.433
162 1.05000E+00  80.0 280.  287.548  90.0  90.0 -90.0 -90.0  0.50  240.410
163 1.07500E+00  80.0 280.  290.289  90.0  90.0 -90.0 -90.0  0.50  244.325
164 1.10000E+00  80.0 280.  293.396  90.0  90.0 -90.0 -90.0  0.50  248.341
165 1.12500E+00  80.0 280.  297.198  90.0  90.0 -90.0 -90.0  0.50  252.768
166 1.15000E+00  80.0 280.  302.064  90.0  90.0 -90.0 -90.0  0.50  257.741
167 1.17500E+00  80.0 280.  313.702  90.0  90.0 -90.0 -90.0  0.50  266.417
168 1.20000E+00  80.0 280.  384.312  90.0  90.0 -90.0 -90.0  0.50  286.337
169 1.22500E+00  80.0 280.  385.539  90.0  90.0 -90.0 -90.0  0.50  286.448
170 1.25000E+00  80.0 280.  386.196  90.0  90.0 -90.0 -90.0  0.50  286.508

171 8.00000E-01  90.0 280.  226.256  90.0   0.0   0.0 -90.0  0.50  126.031
172 8.25000E-01  90.0 280.  230.175  90.0   0.0   0.0 -90.0  0.50  132.003
173 8.50000E-01  90.0 280.  233.513  90.0   0.0   0.0 -90.0  0.50  137.892
174 8.75000E-01  90.0 280.  237.106  90.0   0.0   0.0 -90.0  0.50  144.353
175 9.00000E-01  90.0 280.  241.004  90.0   0.0   0.0 -90.0  0.50  151.514
176 9.25000E-01  90.0 280.  245.702  90.0  73.2   0.0 -90.0  0.50  160.347
177 9.50000E-01  90.0 280.  279.338  90.0  90.0 -90.0 -90.0  0.50  226.637
178 9.75000E-01  90.0 280.  281.187  90.0  90.0 -90.0 -90.0  0.50  229.867
179 1.00000E+00  90.0 280.  283.163  90.0  90.0 -90.0 -90.0  0.50  233.156
180 1.02500E+00  90.0 280.  285.582  90.0  90.0 -90.0 -90.0  0.50  237.053
181 1.05000E+00  90.0 280.  288.256  90.0  90.0 -90.0 -90.0  0.50  241.115
182 1.07500E+00  90.0 280.  291.155  90.0  90.0 -90.0 -90.0  0.50  245.132
183 1.10000E+00  90.0 280.  294.632  90.0  90.0 -90.0 -90.0  0.50  249.433
184 1.12500E+00  90.0 280.  298.908  90.0  90.0 -90.0 -90.0  0.50  254.154
185 1.15000E+00  90.0 280.  304.038  90.0  90.0 -90.0 -90.0  0.50  259.202
186 1.17500E+00  90.0 280.  380.818  90.0  90.0 -90.0 -90.0  0.50  285.971
187 1.20000E+00  90.0 280.  383.274  90.0  90.0 -90.0 -90.0  0.50  286.234
188 1.22500E+00  90.0 280.  384.729  90.0  90.0 -90.0 -90.0  0.50  286.374
189 1.25000E+00  90.0 280.  385.707  90.0  90.0 -90.0 -90.0  0.50  286.464
