T(K) pCO2(bar) A_K(W/m^2) A_C(W/m^2) B(W/m^2/K) albedo OLR(W/m^2)
360.80808080808083 5.4885970167077656e-05 286.8084950650256 303.62469645721745 0.06156398093425524 0.1815185792408644 309.02127687281956
360.80808080808083 5.750518641757172e-05 285.5499598653451 303.26731435068757 0.06486309531518375 0.18151863022364378 308.9530888012882
360.80808080808083 6.024939442362679e-05 284.4053956222285 302.92922394618734 0.06781558969049523 0.18151868363936885 308.8738083873244
360.80808080808083 6.312455892334162e-05 283.3707228024277 302.60976046293536 0.07043396544209285 0.18151873960414183 308.7838666972919
360.80808080808083 6.61369292983935e-05 282.44190254593775 302.30826468294003 0.07273059541278523 0.18151879823960526 308.6836890928538
360.80808080808083 6.92930531575293e-05 281.61493666599483 302.02408295099656 0.074717723906285 0.1815188596732067 308.5736952309696
360.80808080808083 7.259979056827507e-05 280.8858676490743 301.7565671746892 0.07640746668722273 0.1815189240384753 308.45429906389853
360.80808080808083 7.606432896779765e-05 280.25077865489556 301.5050748243897 0.07781181098112436 0.18151899147531306 308.3259088391962
360.80808080808083 7.969419878532864e-05 279.705793516417 301.26896893325846 0.07894261547443335 0.18151906213029662 308.1889270997176
360.80808080808083 8.349728981010646e-05 279.2470767398351 301.0476180972421 0.0798116103145048 0.18151913615699872 308.043750683614
360.80808080808083 8.74818683404141e-05 278.87083350459216 300.84039647507757 0.0804303971095934 0.18151921371632013 307.89077072433633
360.80808080808083 9.165659515098683e-05 278.5733096633698 300.6466837882889 0.08081044892886376 0.18151929497684 307.73037265063255
360.80808080808083 9.603054431784369e-05 278.3507917420897 300.4658653211883 0.08096311030239274 0.18151938011518173 307.562936186549
360.80808080808083 0.00010061322294145963 278.1996069399139 300.29733192087565 0.08089959722116685 0.18151946931639787 307.38883535142986
360.80808080808083 0.00010541459181114802 278.1161231292494 300.1404799972397 0.08063099713706884 0.18151956277437098 307.20843845991703
360.80808080808083 0.00011044508705556975 278.0967488557378 299.994711522956 0.08016826896290731 0.1815196606922368 307.02210812195045
360.80808080808083 0.00011571564282642681 278.1379333382679 299.8594340334894 0.07952224307238338 0.18151976328282382 306.8302012427682
360.80808080808083 0.00012123771506464596 278.2361664689644 299.7340606270924 0.07870362130012064 0.1815198707691169 306.63306902290697
360.80808080808083 0.00012702330640070953 278.38797881319624 299.61800996480525 0.07772297694164021 0.18151998338474168 306.43105695820014
360.80808080808083 0.0001330849922432564 278.58994160957207 299.5107062704565 0.0765907547533753 0.1815201013744731 306.2245048397798
360.80808080808083 0.0001394359481126582 278.83866676994273 299.4115793306633 0.07531727095266555 0.1815202249947666 306.0137467540762
360.80808080808083 0.00014608997827898266 279.13080687939726 299.3200644948296 0.07391271321776424 0.1815203545143141 305.79911108281686
360.80808080808083 0.00015306154576659093 279.4630551962685 299.2356026751482 0.07238714068782594 0.1815204902146314 305.5809205030275
360.80808080808083 0.00016036580379058537 279.83214565212774 299.1576403466 0.07075048396292234 0.1815206323906679 305.35949198703264
360.80808080808083 0.00016801862869343808 280.2348528517905 299.08562954695384 0.06901254510402113 0.1815207813514473 305.1351368024535
360.80808080808083 0.00017603665445338997 280.6679920733102 299.01902787676704 0.06718299763301072 0.1815209374207396 304.9081605122106
360.80808080808083 0.00018443730883962683 281.12841926798257 298.95729849938425 0.06527138653268061 0.18152110093776572 304.67886297452145
360.80808080808083 0.00019323885129281845 281.6130310603436 298.89991014093806 0.06328712824673059 0.18152127225793402 304.44753834290134
360.80808080808083 0.00020246041261335698 282.11876474817245 298.8463370903503 0.061239510679765095 0.18152145175361245 304.2144750661645
360.80808080808083 0.00021212203654355982 282.64259830248534 298.7960591993294 0.05913769319730582 0.18152163981493805 303.97995588842235
360.80808080808083 0.00022224472333421893 283.1815503675414 298.748561882373 0.056990706625779236 0.18152183685066497 303.74425784908516
