 #Name of benchmark/experiment: Experiment 2 (cold start)
 # Describe how ice line latitude is determined: The surface ice coverage corres
# ponds to latitude bands in which the annually-averaged surface temperature is <
#  263.15 K.
 # Columns of data
 # Case = case number (0 -> total number of cases in experiment)
 # SEFF = effective stellar flux divided by value at Earth (1361 W/m^2)
 # Obl = obliquity (degrees)
 # XCO2 = CO2 mixing ratio (volume in ppm)
 # Tglob = global, annual mean surface temperature (K)
 #IceLineNMax = latitude of northern edge of ice in northern hemisphere (deg)
 #IceLineNMin = latitude of northern edge of ice in northern hemisphere (deg)
 #IceLineSMax = latitude of northern edge of ice in northern hemisphere (deg)
 #IceLineSMin = latitude of northern edge of ice in northern hemisphere (deg)
 # Diff = thermal diffusion coefficient (W/m^2/K)
 # OLRglob = global, annual mean outgoing longwave radiation (W/m^2)

 # Case SEFF Obl XCO2 Tglob IceLineNMax IceLineNmin IceLineSMax IceLineSMin Diff OLRGlob
137 9.51814E-01  80.0 280.  282.887  90.0  90.0 -90.0 -90.0  0.50  233.135
138 9.07030E-01  80.0 280.  279.813  90.0  90.0 -90.0 -90.0  0.50  227.710
139 7.54830E-01  80.0 280.  216.388  90.0   0.0   0.0 -90.0  0.50  109.537
140 7.24310E-01  80.0 280.  213.564  90.0   0.0   0.0 -90.0  0.50  104.155
141 6.94444E-01  80.0 280.  210.264  90.0   0.0   0.0 -90.0  0.50   98.853
142 6.66389E-01  80.0 280.  207.177  90.0   0.0   0.0 -90.0  0.50   93.974
143 6.40000E-01  80.0 280.  204.321  90.0   0.0   0.0 -90.0  0.50   89.574

144 1.56250E+00  90.0 280.  387.736  90.0  90.0 -90.0 -90.0  0.50  286.652
145 1.46924E+00  90.0 280.  387.480  90.0  90.0 -90.0 -90.0  0.50  286.627
146 1.38408E+00  90.0 280.  387.155  90.0  90.0 -90.0 -90.0  0.50  286.600
147 1.30597E+00  90.0 280.  386.650  90.0  90.0 -90.0 -90.0  0.50  286.551
148 1.23457E+00  90.0 280.  385.200  90.0  90.0 -90.0 -90.0  0.50  286.418
149 1.16874E+00  90.0 280.  380.290  90.0  90.0 -90.0 -90.0  0.50  285.911
150 1.10803E+00  90.0 280.  298.851  90.0  90.0 -90.0 -90.0  0.50  254.543
151 1.05172E+00  90.0 280.  291.940  90.0  90.0 -90.0 -90.0  0.50  246.570
152 1.00000E+00  90.0 280.  287.271  90.0  90.0 -90.0 -90.0  0.50  240.021
153 9.51814E-01  90.0 280.  283.155  90.0  90.0 -90.0 -90.0  0.50  233.387
154 9.07030E-01  90.0 280.  280.054  90.0  90.0 -90.0 -90.0  0.50  228.006
155 7.54830E-01  90.0 280.  216.641  90.0   0.0   0.0 -90.0  0.50  109.975
156 7.24310E-01  90.0 280.  213.808  90.0   0.0   0.0 -90.0  0.50  104.593
157 6.94444E-01  90.0 280.  210.432  90.0   0.0   0.0 -90.0  0.50   99.189
158 6.66389E-01  90.0 280.  207.347  90.0   0.0   0.0 -90.0  0.50   94.297
159 6.40000E-01  90.0 280.  204.423  90.0   0.0   0.0 -90.0  0.50   89.801
